Job Title,Company Name,Location,Time Posted,Job Description,num_applicants,Seniority level,Employment type,Job function,Industries,URL
Finance Controller,Legistify,"Gurugram, Haryana, India",12 months ago,,Over 200 applicants,Director,Full-time,Accounting/Auditing and Finance,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/finance-controller-at-legistify-3856458485?trk=public_jobs_topcard-title
Software Developer,Legistify,"Noida, Uttar Pradesh, India",1 year ago,,Be among the first 25 applicants,Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/software-developer-at-legistify-3627614919?trk=public_jobs_topcard-title
Python Developer,Legistify,"Noida, Uttar Pradesh, India",1 year ago,,Be among the first 25 applicants,Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/python-developer-at-legistify-3656595719?trk=public_jobs_topcard-title
Software Developer,Legistify,"Faridabad, Haryana, India",1 year ago,,Be among the first 25 applicants,Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/software-developer-at-legistify-3627614855?trk=public_jobs_topcard-title
"Associate Vice President, Sales (New Markets)",Legistify,"Gurugram, Haryana, India",12 months ago,,Not Available,Executive,Full-time,Sales and Business Development,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/associate-vice-president-sales-new-markets-at-legistify-3858495520?trk=public_jobs_topcard-title
Corporate Alliance Executive,Legistify,"Gurugram, Haryana, India",1 year ago,,Be among the first 25 applicants,Associate,Full-time,Sales and Business Development,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/corporate-alliance-executive-at-legistify-3627616483?trk=public_jobs_topcard-title
"Associate Vice President, Sales",Legistify,"Gurugram, Haryana, India",1 year ago,,Be among the first 25 applicants,Executive,Full-time,Sales and Business Development,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/associate-vice-president-sales-at-legistify-3837054446?trk=public_jobs_topcard-title
Key Account Manager | B2B SaaS,Legistify,"Gurugram, Haryana, India",6 months ago,,Not Available,Mid-Senior level,Full-time,Sales and Business Development,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/key-account-manager-b2b-saas-at-legistify-4020543736?trk=public_jobs_topcard-title
Outbound Sales Executive | B2B SAAS,Legistify,"Gurugram, Haryana, India",1 year ago,,Be among the first 25 applicants,Mid-Senior level,Full-time,Sales and Business Development,"Technology, Information and Internet",https://in.linkedin.com/jobs/view/outbound-sales-executive-b2b-saas-at-legistify-3837051773?trk=public_jobs_topcard-title
